label,value
AUDCAD,AUDCAD
AUDCHF,AUDCHF
AUDCNH,AUDCNH
AUDHKD,AUDHKD
AUDJPY,AUDJPY
AUDNZD,AUDNZD
AUDSGD,AUDSGD
AUDUSD,AUDUSD
AUDZAR,AUDZAR
CADCHF,CADCHF
CADCNH,CADCNH
CADJPY,CADJPY
CHFCNH,CHFCNH
CHFCZK,CHFCZK
CHFDKK,CHFDKK
CHFHUF,CHFHUF
CHFJPY,CHFJPY
CHFNOK,CHFNOK
CHFPLN,CHFPLN
CHFSEK,CHFSEK
CHFTRY,CHFTRY
CHFZAR,CHFZAR
CNHHKD,CNHHKD
CNHJPY,CNHJPY
DKKJPY,DKKJPY
DKKNOK,DKKNOK
DKKSEK,DKKSEK
EURAUD,EURAUD
EURCAD,EURCAD
EURCHF,EURCHF
EURCNH,EURCNH
EURCZK,EURCZK
EURDKK,EURDKK
EURGBP,EURGBP
EURHKD,EURHKD
EURHUF,EURHUF
EURILS,EURILS
EURJPY,EURJPY
EURMXN,EURMXN
EURNOK,EURNOK
EURNZD,EURNZD
EURPLN,EURPLN
EURRUB,EURRUB
EURSEK,EURSEK
EURSGD,EURSGD
EURTRY,EURTRY
EURUSD,EURUSD
EURZAR,EURZAR
GBPAUD,GBPAUD
GBPCAD,GBPCAD
GBPCHF,GBPCHF
GBPCNH,GBPCNH
GBPCZK,GBPCZK
GBPDKK,GBPDKK
GBPHKD,GBPHKD
GBPHUF,GBPHUF
GBPJPY,GBPJPY
GBPMXN,GBPMXN
GBPNOK,GBPNOK
GBPNZD,GBPNZD
GBPPLN,GBPPLN
GBPSEK,GBPSEK
GBPSGD,GBPSGD
GBPTRY,GBPTRY
GBPUSD,GBPUSD
GBPZAR,GBPZAR
HKDJPY,HKDJPY
KRWAUD,KRWAUD
KRWCAD,KRWCAD
KRWCHF,KRWCHF
KRWEUR,KRWEUR
KRWGBP,KRWGBP
KRWHKD,KRWHKD
KRWJPY,KRWJPY
KRWUSD,KRWUSD
MXNJPY,MXNJPY
NOKJPY,NOKJPY
NOKSEK,NOKSEK
NZDCAD,NZDCAD
NZDCHF,NZDCHF
NZDJPY,NZDJPY
NZDUSD,NZDUSD
SEKJPY,SEKJPY
SGDCNH,SGDCNH
SGDHKD,SGDHKD
SGDJPY,SGDJPY
USDCAD,USDCAD
USDCHF,USDCHF
USDCNH,USDCNH
USDCZK,USDCZK
USDDKK,USDDKK
USDHKD,USDHKD
USDHUF,USDHUF
USDILS,USDILS
USDJPY,USDJPY
USDKRW,USDKRW
USDMXN,USDMXN
USDNOK,USDNOK
USDPLN,USDPLN
USDRUB,USDRUB
USDSEK,USDSEK
USDSGD,USDSGD
USDTRY,USDTRY
USDZAR,USDZAR
ZARJPY,ZARJPY
